Reviewer Name,Profile Link,Country,Review Count,Review Date,Rating,Review Title,Review Text,Date of Experience
User1,/users/1,US,1 review,2023-01-01T10:00:00.000Z,Rated 1 out of 5 stars,Review,Delivery was very late and took 2 weeks,2023-01-01T10:00:00.000Z
User2,/users/2,GB,1 review,2024-02-02T10:00:00.000Z,Rated 1 out of 5 stars,Review,Delivery missed the promised date,2024-02-02T10:00:00.000Z
User3,/users/3,US,1 review,2024-03-03T10:00:00.000Z,Rated 5 out of 5 stars,Review,Arrived two days early and I am very happy,2024-03-03T10:00:00.000Z
User4,/users/4,CA,1 review,2024-03-04T10:00:00.000Z,Rated 5 out of 5 stars,Review,Well packed and delivered on time with great service,2024-03-04T10:00:00.000Z
User5,/users/5,IN,1 review,2024-03-05T10:00:00.000Z,Rated 3 out of 5 stars,Review,On time but the box was slightly damaged,2024-03-05T10:00:00.000Z
User6,/users/6,DE,1 review,2024-03-06T10:00:00.000Z,Rated 4 out of 5 stars,Review,Fast shipping though the tracking was delayed,2024-03-06T10:00:00.000Z
User7,/users/7,UK,1 review,2024-03-07T10:00:00.000Z,Rated 3 out of 5 stars,Review,Delivery was okay and no updates were provided,2024-03-07T10:00:00.000Z
User8,/users/8,US,1 review,2024-03-08T10:00:00.000Z,Rated 2 out of 5 stars,Review,Courier left it at the wrong address,2024-03-08T10:00:00.000Z
User9,/users/9,FR,1 review,2024-03-09T10:00:00.000Z,Rated 4 out of 5 stars,Review,Free shipping and arrived within the estimated window,2024-03-09T10:00:00.000Z
User10,/users/10,US,1 review,2024-03-10T10:00:00.000Z,Rated 5 out of 5 stars,Review,Packaging was secure and intact on arrival,2024-03-10T10:00:00.000Z
User11,/users/11,IN,1 review,2024-03-11T10:00:00.000Z,Rated 3 out of 5 stars,Review,Ships from the warehouse with email tracking provided,2024-03-11T10:00:00.000Z
User12,/users/12,DE,1 review,2024-03-12T10:00:00.000Z,Rated 4 out of 5 stars,Review,Option for express delivery at checkout is convenient,2024-03-12T10:00:00.000Z
