Reviewer Name,Profile Link,Country,Review Count,Review Date,Rating,Review Title,Review Text,Date of Experience
User1,/users/1,US,1 review,2024-08-16,Rated 5 out of 5 stars,Review,"Battery lasts all day, very impressed","August 16, 2024"
User2,/users/2,GB,1 review,2023-03-11,Rated 5 out of 5 stars,Review,"Fast delivery, arrived in 2 days","March 11, 2023"
User3,/users/3,CA,1 review,2024-01-05,Rated 5 out of 5 stars,Review,"Camera quality is stunning, sharp photos","January 5, 2024"
User4,/users/4,IN,1 review,2024-06-22,Rated 5 out of 5 stars,Review,Screen is bright and vivid colors,"June 22, 2024"
User5,/users/5,US,1 review,2023-11-02,Rated 5 out of 5 stars,Review,Customer service helped me quickly,"November 2, 2023"
User6,/users/6,DE,1 review,2024-04-19,Rated 4 out of 5 stars,Review,Great value for the price,"April 19, 2024"
User7,/users/7,FR,1 review,2023-09-30,Rated 5 out of 5 stars,Review,Refund processed within a week,"September 30, 2023"
User8,/users/8,AU,1 review,2024-02-14,Rated 5 out of 5 stars,Review,"Shipping was smooth, well packaged","February 14, 2024"
User9,/users/9,US,1 review,2024-07-08,Rated 5 out of 5 stars,Review,Warranty covered my repair,"July 8, 2024"
User10,/users/10,GB,1 review,2024-10-01,Rated 4 out of 5 stars,Review,Software update fixed all the bugs,"October 1, 2024"
User11,/users/11,CA,1 review,2024-05-17,Rated 5 out of 5 stars,Review,Build quality feels premium,"May 17, 2024"
User12,/users/12,IN,1 review,2023-12-25,Rated 5 out of 5 stars,Review,Performance is snappy and fast,"December 25, 2023"
User13,/users/13,US,1 review,2024-08-20,Rated 1 out of 5 stars,Review,"Battery drains very fast, dies in 2 hours","August 20, 2024"
User14,/users/14,GB,1 review,2023-03-28,Rated 1 out of 5 stars,Review,"Delivery was very late, took 2 weeks","March 28, 2023"
User15,/users/15,CA,1 review,2024-01-09,Rated 2 out of 5 stars,Review,Camera is blurry and unfocused,"January 9, 2024"
User16,/users/16,IN,1 review,2024-06-03,Rated 2 out of 5 stars,Review,"Screen flickers sometimes, annoying","June 3, 2024"
User17,/users/17,US,1 review,2023-11-15,Rated 1 out of 5 stars,Review,Customer service was rude and unhelpful,"November 15, 2023"
User18,/users/18,DE,1 review,2024-04-07,Rated 2 out of 5 stars,Review,Price is too high for the specs,"April 7, 2024"
User19,/users/19,FR,1 review,2023-09-12,Rated 1 out of 5 stars,Review,Refund was never processed,"September 12, 2023"
User20,/users/20,AU,1 review,2024-02-26,Rated 2 out of 5 stars,Review,Shipping arrived damaged,"February 26, 2024"
User21,/users/21,US,1 review,2024-07-19,Rated 1 out of 5 stars,Review,Warranty claim was denied,"July 19, 2024"
User22,/users/22,GB,1 review,2024-10-11,Rated 2 out of 5 stars,Review,"Software crashes often, very buggy","October 11, 2024"
User23,/users/23,CA,1 review,2024-05-02,Rated 1 out of 5 stars,Review,"Build quality is cheap, broke easily","May 2, 2024"
User24,/users/24,IN,1 review,2023-12-08,Rated 2 out of 5 stars,Review,Performance lags and freezes,"December 8, 2023"
User25,/users/25,US,1 review,2024-08-01,Rated 3 out of 5 stars,Review,"Battery is okay, average life","August 1, 2024"
User26,/users/26,GB,1 review,2023-03-19,Rated 3 out of 5 stars,Review,"Delivery was on time, standard","March 19, 2023"
User27,/users/27,CA,1 review,2024-01-22,Rated 3 out of 5 stars,Review,Camera is decent for the price,"January 22, 2024"
User28,/users/28,IN,1 review,2024-06-14,Rated 3 out of 5 stars,Review,"Screen is fine, nothing special","June 14, 2024"
