Reviewer Name,Profile Link,Country,Review Count,Review Date,Rating,Review Title,Review Text,Date of Experience
User1,/users/1,US,1 review,2023-01-01T10:00:00.000Z,Rated 1 out of 5 stars,Review,Battery drains very fast and dies in 2 hours,2023-01-01T10:00:00.000Z
User2,/users/2,GB,1 review,2024-02-02T10:00:00.000Z,Rated 1 out of 5 stars,Review,Battery life is terrible and the worst I have used,2024-02-02T10:00:00.000Z
User3,/users/3,US,1 review,2024-03-03T10:00:00.000Z,Rated 5 out of 5 stars,Review,Battery easily lasts a full day even with heavy use,2024-03-03T10:00:00.000Z
User4,/users/4,CA,1 review,2024-03-04T10:00:00.000Z,Rated 5 out of 5 stars,Review,Impressive battery backup and two days on a single charge,2024-03-04T10:00:00.000Z
User5,/users/5,IN,1 review,2024-03-05T10:00:00.000Z,Rated 3 out of 5 stars,Review,Good sound but the battery could be better for the price,2024-03-05T10:00:00.000Z
User6,/users/6,DE,1 review,2024-03-06T10:00:00.000Z,Rated 4 out of 5 stars,Review,Comfortable fit though battery drains a bit quick on calls,2024-03-06T10:00:00.000Z
User7,/users/7,UK,1 review,2024-03-07T10:00:00.000Z,Rated 3 out of 5 stars,Review,Decent battery lasts about half a day with music on,2024-03-07T10:00:00.000Z
User8,/users/8,US,1 review,2024-03-08T10:00:00.000Z,Rated 2 out of 5 stars,Review,Battery swells after a few months and is very disappointing,2024-03-08T10:00:00.000Z
User9,/users/9,FR,1 review,2024-03-09T10:00:00.000Z,Rated 4 out of 5 stars,Review,Charging case is handy and holds two extra charges,2024-03-09T10:00:00.000Z
User10,/users/10,US,1 review,2024-03-10T10:00:00.000Z,Rated 5 out of 5 stars,Review,Love the battery life and never worry about midday charging,2024-03-10T10:00:00.000Z
User11,/users/11,IN,1 review,2024-03-11T10:00:00.000Z,Rated 3 out of 5 stars,Review,Comes with a charging case and a USB-C cable in the box,2024-03-11T10:00:00.000Z
User12,/users/12,DE,1 review,2024-03-12T10:00:00.000Z,Rated 4 out of 5 stars,Review,Supports fast charging and Bluetooth 5.3 connectivity,2024-03-12T10:00:00.000Z
