review_text,rating,date,country
Great value for the price,4,2024-04-19,DE
Refund processed within a week,5,2023-09-30,FR
"Shipping was smooth, well packaged",5,2024-02-14,AU
Warranty covered my repair,5,2024-07-08,US
Software update fixed all the bugs,4,2024-10-01,GB
Build quality feels premium,5,2024-05-17,CA
Performance is snappy and fast,5,2023-12-25,IN
"Battery drains very fast, dies in 2 hours",1,2024-08-20,US
"Delivery was very late, took 2 weeks",1,2023-03-28,GB
Camera is blurry and unfocused,2,2024-01-09,CA
"Screen flickers sometimes, annoying",2,2024-06-03,IN
Customer service was rude and unhelpful,1,2023-11-15,US
Price is too high for the specs,2,2024-04-07,DE
Refund was never processed,1,2023-09-12,FR
Shipping arrived damaged,2,2024-02-26,AU
,3,2024-08-01,US
Great screen quality,,2024-08-01,US
Good battery,4,2024-08-01,
Weird date review,2,,GB
