review_id,review_text,rating,date
watch_0001,"Battery lasts a week, impressive",5,2025-09-10
watch_0002,Screen scratches very easily,2,2025-01-10
watch_0003,Straps cause skin irritation,1,2025-03-23
watch_0004,Charging cable is too short,1,2025-02-02
watch_0005,Battery life is terrible,2,2025-03-03
watch_0006,Alarm and timer features are great,4,2025-06-24
watch_0007,Display is bright and clear,5,2025-10-13
watch_0008,Heart rate monitor is inaccurate,3,2025-09-21
watch_0009,"Battery lasts a week, impressive",5,2025-08-13
watch_0010,"Battery lasts a week, impressive",5,2025-11-09
watch_0011,"Battery lasts a week, impressive",5,2025-01-22
watch_0012,Notifications work perfectly,5,2025-04-16
watch_0013,Notifications work perfectly,5,2025-12-29
watch_0014,Good value for the price,5,2025-02-20
watch_0015,Sync with phone keeps failing,1,2025-03-12
watch_0016,Screen scratches very easily,1,2025-08-01
watch_0017,Display is bright and clear,4,2025-08-31
watch_0018,Charging cable is too short,1,2025-05-17
watch_0019,Buttons are stiff and hard to press,1,2025-11-19
watch_0020,Notifications work perfectly,5,2025-09-29
watch_0021,"Love the design, looks premium",4,2025-08-08
watch_0022,Touchscreen is laggy and slow,3,2025-09-22
watch_0023,Sleep tracking is useful and accurate,5,2025-08-15
watch_0024,"Battery drains fast, needs daily charge",2,2025-09-22
watch_0025,"Battery lasts a week, impressive",4,2025-07-25
watch_0026,Notifications work perfectly,5,2025-07-21
watch_0027,Best fitness tracker I have used,5,2025-03-19
watch_0028,Display is bright and clear,5,2025-12-05
watch_0029,GPS tracking is very accurate,5,2025-12-15
watch_0030,GPS tracking is very accurate,5,2025-06-10
watch_0031,Display is bright and clear,5,2025-09-28
watch_0032,Notifications work perfectly,5,2025-08-17
watch_0033,Good value for the price,5,2025-11-13
watch_0034,Accurate during workouts,4,2025-11-29
watch_0035,Screen scratches very easily,3,2025-02-13
watch_0036,Sync with phone keeps failing,1,2025-03-06
watch_0037,Good value for the price,4,2025-02-17
watch_0038,GPS tracking is very accurate,5,2025-11-22
watch_0039,"Battery drains fast, needs daily charge",3,2025-10-04
watch_0040,"Love the design, looks premium",5,2025-06-05
watch_0041,Good value for the price,4,2025-01-31
watch_0042,GPS tracking is very accurate,5,2025-07-01
watch_0043,Buttons are stiff and hard to press,2,2025-03-05
watch_0044,Fast charging is very convenient,5,2025-08-21
watch_0045,Screen scratches very easily,3,2025-10-25
watch_0046,Best fitness tracker I have used,5,2025-11-01
watch_0047,Straps cause skin irritation,1,2025-10-21
watch_0048,Accurate during workouts,4,2025-05-07
watch_0049,Charging cable is too short,2,2025-07-04
watch_0050,Notifications work perfectly,5,2025-07-30
watch_0051,"Battery drains fast, needs daily charge",1,2025-03-08
watch_0052,Alarm and timer features are great,4,2025-12-13
watch_0053,Fast charging is very convenient,5,2025-07-22
watch_0054,Fast charging is very convenient,5,2025-08-05
watch_0055,Accurate during workouts,5,2025-09-08
watch_0056,Water resistance works well,5,2025-03-15
watch_0057,Alarm and timer features are great,5,2025-03-08
watch_0058,Good value for the price,5,2025-03-02
watch_0059,Alarm and timer features are great,5,2025-03-22
watch_0060,Sleep tracking is useful and accurate,5,2025-03-02
watch_0061,Water resistance works well,4,2025-07-09
watch_0062,Display is bright and clear,5,2025-03-02
watch_0063,Sync with phone keeps failing,1,2025-09-06
watch_0064,Heart rate monitor is inaccurate,1,2025-10-29
watch_0065,GPS tracking is very accurate,5,2025-04-21
watch_0066,Microphone picks up too much noise,2,2025-03-04
watch_0067,"Battery lasts a week, impressive",5,2025-08-02
watch_0068,GPS tracking is very accurate,5,2025-06-22
watch_0069,Alarm and timer features are great,5,2025-11-07
watch_0070,Heart rate monitor is inaccurate,2,2025-08-24
watch_0071,Best fitness tracker I have used,5,2025-06-16
watch_0072,Step counter is way off,2,2025-07-29
watch_0073,Touchscreen is laggy and slow,1,2025-01-24
watch_0074,Alarm and timer features are great,5,2025-11-27
watch_0075,Heart rate monitor is inaccurate,2,2025-10-20
watch_0076,Accurate during workouts,4,2025-11-27
watch_0077,Charging cable is too short,1,2025-11-13
watch_0078,Display is bright and clear,5,2025-09-25
watch_0079,Display is too dim in sunlight,2,2025-01-10
watch_0080,Charging cable is too short,1,2025-01-10
watch_0081,Screen scratches very easily,1,2025-12-28
watch_0082,Fast charging is very convenient,5,2025-10-01
watch_0083,Water resistance works well,5,2025-09-09
watch_0084,Display is bright and clear,4,2025-04-03
watch_0085,Charging cable is too short,1,2025-05-12
watch_0086,Battery life is terrible,2,2025-05-27
watch_0087,Straps cause skin irritation,2,2025-03-20
watch_0088,Touchscreen is laggy and slow,2,2025-01-31
watch_0089,Sleep tracking is useful and accurate,4,2025-01-30
watch_0090,Battery life is terrible,1,2025-07-31
watch_0091,GPS tracking is very accurate,4,2025-03-03
watch_0092,Screen scratches very easily,2,2025-10-28
watch_0093,Charging cable is too short,2,2025-07-17
watch_0094,GPS tracking is very accurate,4,2025-08-26
watch_0095,"Battery lasts a week, impressive",5,2025-07-28
watch_0096,Display is bright and clear,4,2025-10-28
watch_0097,"Love the design, looks premium",5,2025-11-30
watch_0098,GPS tracking is very accurate,5,2025-08-17
watch_0099,App drains the phone battery,2,2025-03-14
watch_0100,Heart rate monitor is inaccurate,2,2025-10-03
watch_0101,Good value for the price,5,2025-01-01
watch_0102,Fast charging is very convenient,4,2025-03-27
watch_0103,Display is too dim in sunlight,1,2025-05-09
watch_0104,Water resistance works well,5,2025-11-20
watch_0105,Charging cable is too short,1,2025-03-24
watch_0106,Fast charging is very convenient,4,2025-02-15
watch_0107,Battery life is terrible,3,2025-10-12
watch_0108,Water resistance works well,4,2025-09-16
watch_0109,Sleep tracking is useful and accurate,5,2025-06-25
watch_0110,Accurate during workouts,5,2025-05-06
watch_0111,Sleep tracking is useful and accurate,4,2025-08-24
watch_0112,Sleep tracking is useful and accurate,4,2025-12-21
watch_0113,"Battery drains fast, needs daily charge",2,2025-01-03
watch_0114,Best fitness tracker I have used,4,2025-10-12
watch_0115,Accurate during workouts,5,2025-07-21
watch_0116,Best fitness tracker I have used,5,2025-10-03
watch_0117,App drains the phone battery,1,2025-03-05
watch_0118,Touchscreen is laggy and slow,3,2025-07-03
watch_0119,Buttons are stiff and hard to press,3,2025-01-05
watch_0120,Sync with phone keeps failing,3,2025-08-16
watch_0121,Microphone picks up too much noise,1,2025-05-24
