review_text,rating,date,country
Screen is bright and vivid colors,5,2024-06-22,IN
Customer service helped me quickly,5,2023-11-02,US
Great value for the price,4,2024-04-19,DE
Refund processed within a week,5,2023-09-30,FR
"Shipping was smooth, well packaged",5,2024-02-14,AU
Warranty covered my repair,5,2024-07-08,US
Software update fixed all the bugs,4,2024-10-01,GB
Build quality feels premium,5,2024-05-17,CA
Performance is snappy and fast,5,2023-12-25,IN
"Battery drains very fast, dies in 2 hours",1,2024-08-20,US
"Delivery was very late, took 2 weeks",1,2023-03-28,GB
Camera is blurry and unfocused,2,2024-01-09,CA
"Screen flickers sometimes, annoying",2,2024-06-03,IN
Customer service was rude and unhelpful,1,2023-11-15,US
Price is too high for the specs,2,2024-04-07,DE
Refund was never processed,1,2023-09-12,FR
Shipping arrived damaged,2,2024-02-26,AU
Warranty claim was denied,1,2024-07-19,US
"Software crashes often, very buggy",2,2024-10-11,GB
"Build quality is cheap, broke easily",1,2024-05-02,CA
Performance lags and freezes,2,2023-12-08,IN
"Battery is okay, average life",3,2024-08-01,US
"Delivery was on time, standard",3,2023-03-19,GB
Camera is decent for the price,3,2024-01-22,CA
"Screen is fine, nothing special",3,2024-06-14,IN
"Battery is terrible, swollen",1,2022-02-10,DE
Delivery missed the date,1,2022-05-18,FR
Camera freezes the app,2,2023-07-09,AU
Screen dead pixel issue,2,2022-09-14,IN
Customer service hung up,1,2023-04-21,CA
