Reviewer Name,Profile Link,Country,Review Count,Review Date,Rating,Review Title,Review Text,Date of Experience
Aaron M,/users/a1,US,3 reviews,2024-01-12T10:00:00.000Z,Rated 1 out of 5 stars,Battery dies fast,Battery drains very fast, dies in 2 hours,2024-01-12T10:00:00.000Z
Bella R,/users/b2,GB,1 review,2024-02-03T09:30:00.000Z,Rated 1 out of 5 stars,Worst battery,Battery life is terrible, worst I have had on any phone,2024-02-03T09:30:00.000Z
Carlos T,/users/c3,CA,2 reviews,2024-03-21T14:15:00.000Z,Rated 5 out of 5 stars,Charging is great,Fast charging works great, very handy,2024-03-21T14:15:00.000Z
Dia K,/users/d4,IN,1 review,2024-04-09T11:45:00.000Z,Rated 5 out of 5 stars,All day battery,Battery lasts all day with heavy use,2024-04-09T11:45:00.000Z
Evan P,/users/e5,DE,4 reviews,2024-05-18T08:20:00.000Z,Rated 2 out of 5 stars,Overheats,Battery overheats while charging,2024-05-18T08:20:00.000Z
Farah S,/users/f6,FR,1 review,2024-01-20T16:05:00.000Z,Rated 1 out of 5 stars,Late delivery,Delivery was very late, took 2 weeks,2024-01-20T16:05:00.000Z
George L,/users/g7,AU,2 reviews,2024-02-27T12:40:00.000Z,Rated 1 out of 5 stars,Missed date,Delivery missed the promised date,2024-02-27T12:40:00.000Z
Hana N,/users/h8,US,3 reviews,2024-03-05T13:10:00.000Z,Rated 5 out of 5 stars,Quick shipping,Fast delivery, arrived in 2 days,2024-03-05T13:10:00.000Z
Ivan O,/users/i9,GB,1 review,2024-04-14T10:55:00.000Z,Rated 2 out of 5 stars,Delayed,Shipping was delayed by a week,2024-04-14T10:55:00.000Z
Julia W,/users/j10,CA,2 reviews,2024-05-02T15:30:00.000Z,Rated 4 out of 5 stars,On time,Package arrived on time, well packed,2024-05-02T15:30:00.000Z
Kabir V,/users/k11,IN,1 review,2024-01-29T09:15:00.000Z,Rated 2 out of 5 stars,Blurry camera,Camera is blurry and unfocused,2024-01-29T09:15:00.000Z
Lara Z,/users/l12,DE,3 reviews,2024-02-11T11:25:00.000Z,Rated 5 out of 5 stars,Sharp photos,Camera quality is stunning, sharp photos,2024-02-11T11:25:00.000Z
Mona Q,/users/m13,FR,1 review,2024-03-19T14:50:00.000Z,Rated 2 out of 5 stars,Grainy, Front camera is grainy in low light,2024-03-19T14:50:00.000Z
Noah E,/users/n14,AU,2 reviews,2024-04-23T08:40:00.000Z,Rated 5 out of 5 stars,Great portraits,Camera takes amazing portraits,2024-04-23T08:40:00.000Z
Omar F,/users/o15,US,1 review,2024-05-30T16:35:00.000Z,Rated 1 out of 5 stars,Camera crash,Camera freezes the app often,2024-05-30T16:35:00.000Z
Priya G,/users/p16,GB,3 reviews,2024-01-08T10:05:00.000Z,Rated 1 out of 5 stars,Cracked screen,Screen cracked after one drop,2024-01-08T10:05:00.000Z
Quinn H,/users/q17,CA,1 review,2024-02-16T12:20:00.000Z,Rated 2 out of 5 stars,Flickers,Screen flickers sometimes, annoying,2024-02-16T12:20:00.000Z
Riya J,/users/r18,IN,2 reviews,2024-03-27T15:10:00.000Z,Rated 5 out of 5 stars,Vivid display,Screen is bright and vivid colors,2024-03-27T15:10:00.000Z
Sara M,/users/s19,DE,1 review,2024-04-30T09:50:00.000Z,Rated 1 out of 5 stars,Dead pixels,Screen has dead pixels on arrival,2024-04-30T09:50:00.000Z
Tariq N,/users/t20,FR,3 reviews,2024-05-11T13:45:00.000Z,Rated 5 out of 5 stars,Crisp,Display is sharp and crisp,2024-05-11T13:45:00.000Z
Uma P,/users/u21,AU,1 review,2024-01-17T11:35:00.000Z,Rated 1 out of 5 stars,Rude support,Customer service was rude and unhelpful,2024-01-17T11:35:00.000Z
Victor R,/users/v22,US,2 reviews,2024-02-25T14:25:00.000Z,Rated 1 out of 5 stars,Hung up,Customer service hung up on me,2024-02-25T14:25:00.000Z
Wendy S,/users/w23,GB,1 review,2024-03-09T10:15:00.000Z,Rated 5 out of 5 stars,Helpful,Support team helped me quickly,2024-03-09T10:15:00.000Z
Xavier T,/users/x24,CA,3 reviews,2024-04-06T16:00:00.000Z,Rated 2 out of 5 stars,No reply,No response from customer service,2024-04-06T16:00:00.000Z
Yara U,/users/y25,IN,1 review,2024-05-21T09:30:00.000Z,Rated 5 out of 5 stars,Resolved,Customer service resolved my issue,2024-05-21T09:30:00.000Z
Zane V,/users/z26,DE,2 reviews,2024-01-23T12:55:00.000Z,Rated 2 out of 5 stars,Too pricey,Price is too high for the specs,2024-01-23T12:55:00.000Z
Aria W,/users/a27,FR,1 review,2024-02-14T15:40:00.000Z,Rated 2 out of 5 stars,Overpriced,Overpriced compared to competitors,2024-02-14T15:40:00.000Z
Ben X,/users/b28,AU,3 reviews,2024-03-30T11:20:00.000Z,Rated 5 out of 5 stars,Good value,Great value for the money,2024-03-30T11:20:00.000Z
Cara Y,/users/c29,US,1 review,2024-04-18T14:10:00.000Z,Rated 4 out of 5 stars,Reasonable,Price is reasonable for features,2024-04-18T14:10:00.000Z
Dev Z,/users/d30,GB,2 reviews,2024-05-25T10:45:00.000Z,Rated 1 out of 5 stars,Expensive,Way too expensive for what you get,2024-05-25T10:45:00.000Z
