review_id,review_text,rating,date
speaker_0001,"Battery drains too fast, dies quickly",1,2025-03-31
speaker_0002,"Mids are clear, vocals sound great",4,2025-12-13
speaker_0003,Multipoint connection is buggy,1,2025-01-24
speaker_0004,Bluetooth keeps disconnecting,2,2025-03-29
speaker_0005,One speaker went silent after a week,3,2025-05-18
speaker_0006,"Volume is amazing, fills the room",4,2025-06-25
speaker_0007,Delay between video and audio is bad,1,2025-08-22
speaker_0008,Delay between video and audio is bad,2,2025-09-02
speaker_0009,"Love the sound, great for parties",4,2025-12-23
speaker_0010,"Love the sound, great for parties",4,2025-10-30
speaker_0011,Excellent stereo separation,5,2025-04-03
speaker_0012,"Portable and lightweight, easy to carry",5,2025-12-17
speaker_0013,"Love the sound, great for parties",5,2025-09-07
speaker_0014,Delay between video and audio is bad,1,2025-02-02
speaker_0015,Speaker crackles at max volume,1,2025-12-14
speaker_0016,Excellent stereo separation,5,2025-04-25
speaker_0017,"Portable and lightweight, easy to carry",5,2025-12-19
speaker_0018,"Volume is amazing, fills the room",5,2025-05-08
speaker_0019,Amazing bass for its size,4,2025-10-13
speaker_0020,Excellent stereo separation,4,2025-11-26
speaker_0021,Setup was easy and quick,5,2025-09-11
speaker_0022,"Volume is amazing, fills the room",5,2025-06-14
speaker_0023,Sound is muddy at high volume,1,2025-04-25
speaker_0024,Amazing bass for its size,5,2025-05-01
speaker_0025,One speaker went silent after a week,3,2025-08-18
speaker_0026,One speaker went silent after a week,1,2025-03-02
speaker_0027,"Sound quality is excellent, loud and clear",4,2025-07-31
speaker_0028,Charging port stopped working,1,2025-02-16
speaker_0029,Excellent stereo separation,5,2025-09-18
speaker_0030,Build feels sturdy and solid,5,2025-07-06
speaker_0031,"Battery lasts long, very good",5,2025-06-19
speaker_0032,Excellent stereo separation,5,2025-12-03
speaker_0033,One speaker went silent after a week,1,2025-12-04
speaker_0034,Speaker crackles at max volume,1,2025-11-21
speaker_0035,"Mids are clear, vocals sound great",5,2025-07-11
speaker_0036,"Sound quality is excellent, loud and clear",5,2025-09-10
speaker_0037,Multipoint connection is buggy,2,2025-07-29
speaker_0038,Too expensive for the sound quality,1,2025-03-03
speaker_0039,Amazing bass for its size,4,2025-04-08
speaker_0040,"Volume is amazing, fills the room",5,2025-01-24
speaker_0041,Excellent stereo separation,4,2025-08-19
speaker_0042,Excellent stereo separation,5,2025-03-10
speaker_0043,"Sound quality is excellent, loud and clear",5,2025-01-25
speaker_0044,Amazing bass for its size,5,2025-09-05
speaker_0045,"Love the sound, great for parties",5,2025-03-30
speaker_0046,"Love the sound, great for parties",4,2025-12-03
speaker_0047,"Portable and lightweight, easy to carry",5,2025-07-16
speaker_0048,Too expensive for the sound quality,3,2025-05-08
speaker_0049,Speaker crackles at max volume,3,2025-08-20
speaker_0050,"Love the sound, great for parties",5,2025-12-25
speaker_0051,Setup was easy and quick,4,2025-12-26
speaker_0052,"Portable and lightweight, easy to carry",5,2025-10-11
speaker_0053,"Battery lasts long, very good",4,2025-05-29
speaker_0054,"Love the sound, great for parties",5,2025-11-29
speaker_0055,"Love the sound, great for parties",5,2025-12-22
speaker_0056,"Volume is amazing, fills the room",5,2025-10-15
speaker_0057,Excellent stereo separation,5,2025-12-30
speaker_0058,Multipoint connection is buggy,3,2025-10-01
speaker_0059,Delay between video and audio is bad,3,2025-09-25
speaker_0060,Delay between video and audio is bad,1,2025-12-10
speaker_0061,Sound is muddy at high volume,2,2025-03-24
speaker_0062,"Mids are clear, vocals sound great",4,2025-02-01
speaker_0063,"Mids are clear, vocals sound great",4,2025-10-05
speaker_0064,One speaker went silent after a week,1,2025-12-12
speaker_0065,"Battery lasts long, very good",5,2025-10-15
speaker_0066,Charging port stopped working,2,2025-12-23
