review_text,rating,country
Chair fabric is breathable and comfortable for long hours.,5,India
"Fabric is rough and itchy, not comfortable.",2,USA
"Armrest is wobbly and loose, poor build.",1,Germany
"Armrest is sturdy and adjustable, love it.",5,UK
Assembly was easy and instructions were clear.,5,India
Assembly was confusing and parts were missing.,1,USA
"Wheels roll smoothly on floor, great mobility.",5,Japan
Wheels get stuck and squeak loudly.,2,Germany
"Back support is excellent, no back pain.",5,India
"Back support is poor, hurts after an hour.",1,USA
"Cushion is soft and durable, holds shape.",5,UK
Cushion is flat and hard after a week.,2,India
Height adjustment works perfectly.,5,USA
Height adjustment is stuck and noisy.,1,Germany
Price is reasonable for the quality.,5,India
Overpriced for what it offers.,2,USA
Delivery was fast and chair was well packed.,5,UK
Delivery was late and chair was damaged.,1,India
The product is excellent but delivery was terrible.,3,USA
Fabric is comfortable but armrest is wobbly.,3,India
Wheels are smooth but back support is poor.,3,Germany
Easy to assemble but cushion is hard.,3,UK
Price is good but build is flimsy.,3,USA
Chair is beautiful and modern design.,5,India
Chair looks cheap and outdated.,2,USA
"Very sturdy and durable, holds 120kg easily.",5,Germany
"Broke within a month, very flimsy.",1,UK
Customer service was helpful and replaced quickly.,5,India
Customer service was rude and ignored my complaint.,1,USA
"Perfect for office work, highly recommend.",5,Japan
"Not worth it, regret buying this chair.",1,USA
"Average chair, does the job.",3,Canada
"Lumbar support is amazing, very comfortable.",5,India
"Lumbar support is missing, uncomfortable.",1,USA
Material is premium and feels great.,5,Germany
Material feels cheap and plasticky.,2,UK
Recline works smoothly and locks well.,5,India
Recline is stuck and does not lock.,1,USA
Compact and fits well in small room.,5,Japan
Too bulky for my small apartment.,2,India
"No smell, fresh out of the box.",5,USA
Strong chemical smell for weeks.,2,Germany
Headrest is comfortable and adjustable.,5,UK
Headrest is hard and useless.,1,India
"Great value, worth the money.",5,USA
"Too expensive, not worth it.",2,India
packaging was neat and safe.,5,Germany
packaging was flimsy and torn.,1,USA
The chair armrest is wobbly but fabric is comfortable.,3,India
Wheels roll well but fabric is rough.,3,USA
Back support is good but armrest is loose.,3,Germany
Cushion is soft but height adjustment is stuck.,3,UK
