review_id,review_text,rating,date
laptop_0001,"Great performance, everything runs smoothly",5,2025-05-06
laptop_0002,Wifi keeps disconnecting frequently,1,2025-10-07
laptop_0003,"Delivery was very late, took 2 weeks",1,2025-02-17
laptop_0004,Touchpad is unresponsive and jittery,2,2025-10-15
laptop_0005,The hinge broke after 3 months,2,2025-08-03
laptop_0006,Price is too high for the specs,1,2025-01-04
laptop_0007,"Excellent build quality, feels premium",5,2025-06-24
laptop_0008,"Screen flickers sometimes, annoying",3,2025-06-22
laptop_0009,"Delivery was very late, took 2 weeks",1,2025-06-26
laptop_0010,"Great performance, everything runs smoothly",5,2025-10-02
laptop_0011,"Delivery was very late, took 2 weeks",1,2025-05-31
laptop_0012,Trackpad gestures work perfectly,5,2025-07-05
laptop_0013,"Love this laptop, fast and lightweight",4,2025-04-27
laptop_0014,"Love this laptop, fast and lightweight",5,2025-02-21
laptop_0015,Keyboard feels cheap and keys stick,2,2025-07-06
laptop_0016,Fan is loud and noisy while charging,1,2025-05-17
laptop_0017,"Love this laptop, fast and lightweight",5,2025-03-29
laptop_0018,Screen colors are vivid and sharp,4,2025-07-14
laptop_0019,The hinge broke after 3 months,2,2025-04-23
laptop_0020,"Great performance, everything runs smoothly",4,2025-01-17
laptop_0021,"Great value for money, worth it",4,2025-04-19
laptop_0022,Trackpad gestures work perfectly,5,2025-06-11
laptop_0023,Keyboard feels cheap and keys stick,1,2025-11-26
laptop_0024,"Boots up in seconds, very snappy",4,2025-10-15
laptop_0025,Trackpad gestures work perfectly,5,2025-10-26
laptop_0026,"Screen flickers sometimes, annoying",3,2025-03-12
laptop_0027,"Love this laptop, fast and lightweight",5,2025-02-26
laptop_0028,"Screen is too dim, hard to see outdoors",2,2025-08-05
laptop_0029,"Great value for money, worth it",4,2025-08-28
laptop_0030,"Display is great, crisp and bright",5,2025-01-06
laptop_0031,"Love this laptop, fast and lightweight",5,2025-10-02
laptop_0032,"Fast charging works great, very handy",4,2025-08-11
laptop_0033,"Battery drains very fast, dies in 2 hours",3,2025-05-15
laptop_0034,"Excellent build quality, feels premium",5,2025-02-24
laptop_0035,"Boots up in seconds, very snappy",5,2025-09-17
laptop_0036,"Excellent build quality, feels premium",4,2025-03-24
laptop_0037,"Display is great, crisp and bright",5,2025-11-03
laptop_0038,"Battery drains very fast, dies in 2 hours",1,2025-07-05
laptop_0039,"Boots up in seconds, very snappy",4,2025-05-04
laptop_0040,"Love this laptop, fast and lightweight",4,2025-09-06
laptop_0041,"Display is great, crisp and bright",5,2025-03-07
laptop_0042,"Display is great, crisp and bright",4,2025-09-28
